MESURSTN_NM,INSTL_YY,MESRNW_NM,MESURE_ITEM_DTLS,lon,lat
원시동,1990,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",126.7885102,37.3052962
본오동,1998,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",126.8644966,37.28925137
원곡동,1999,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",126.7931001,37.33691692
부곡동1,2001,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",126.8610907,37.33178721
호수동,2003,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",126.8337298,37.30479325
고잔동,1987,도시대기,"SO2, CO, O3, NO2, PM10, PM2.5",126.8309422,37.32266989
중앙대로(고잔동),2009,도로변대기,"SO2, CO, NO2, PM10, PM2.5",126.8278868,37.31667039
